force,flag,no_data
Avon and Somerset,,
Bedfordshire,,
Cambridgeshire,,
Cheshire,,
City of London,,x
Cleveland,,x
Cumbria,,
Derbyshire,,x
Devon and Cornwall,x,
Dorset,x,
Durham,x,
Essex,x,
Gloucestershire,,
Greater Manchester,,
Hampshire,,x
Hertfordshire,x,
Humberside,,
Kent,,
Lancashire,x,
Leicestershire,x,
Lincolnshire,,
Merseyside,,
Metropolitan Police,x,
Norfolk,,
North Yorkshire,x,
Northamptonshire,x,
Northumbria,,x
Nottinghamshire,,
South Yorkshire,,x
Staffordshire,,x
Suffolk,,
Surrey,,
Sussex,,x
Thames Valley,x,
Warwickshire,x,
West Mercia,,
West Midlands,,x
West Yorkshire,,
Wiltshire,,x
North Wales,,
South Wales,,
Dyfed-Powys,,
Gwent,,